name,detectedFex,time
S005_001_00000009,angry,1.4449583999812603
S005_001_00000010,angry,0.11660629999823868
S005_001_00000011,angry,0.12665560003370047
S005_001_00000001,sad,0.13155699998605996
S010_001_00000012,happy,0.11130270001012832
S010_001_00000013,happy,0.13383810000959784
S010_001_00000014,happy,0.1221769000403583
S010_001_00000001,neutral,0.1272216000361368
S010_002_00000012,surprise,0.13573820004239678
S010_002_00000013,surprise,0.1391853999812156
S010_002_00000014,surprise,0.12991220003459603
S010_002_00000001,angry,0.12980899994727224
S010_003_00000016,angry,0.12884999997913837
S010_003_00000017,angry,0.1273413000162691
S010_003_00000018,angry,0.12345090007875115
S010_003_00000001,angry,0.13114029995631427
S010_004_00000017,neutral,0.1224765001097694
S010_004_00000018,neutral,0.1079046999802813
S010_004_00000019,neutral,0.126160699990578
S010_004_00000001,angry,0.12402540002949536
S010_005_00000014,angry,0.12102199997752905
S010_005_00000015,angry,0.12907939997967333
S010_005_00000016,angry,0.12013910000678152
S010_005_00000001,angry,0.12769940006546676
S010_006_00000013,happy,0.12249199999496341
S010_006_00000014,happy,0.12171320000197738
S010_006_00000015,happy,0.1226966999238357
S010_006_00000001,neutral,0.1301044001011178
S011_001_00000014,surprise,0.13623309996910393
S011_001_00000015,surprise,0.13669509999454021
S011_001_00000016,surprise,0.13869199994951487
S011_001_00000001,neutral,0.1346608999883756
S011_002_00000020,sad,0.13766219990793616
S011_002_00000021,neutral,0.1343258999986574
S011_002_00000022,sad,0.1379116999451071
S011_002_00000001,neutral,0.134159000008367
S011_003_00000012,sad,0.13210399996023625
S011_003_00000013,neutral,0.13207669998519123
S011_003_00000014,neutral,0.11649480008054525
S011_003_00000001,neutral,0.13622250000480562
S011_004_00000019,neutral,0.128730500000529
S011_004_00000020,neutral,0.11675150005612522
S011_004_00000021,sad,0.13155689998529851
S011_004_00000001,neutral,0.13093800004571676
S011_005_00000018,angry,0.1241521000629291
S011_005_00000019,angry,0.12324500002432615
S011_005_00000020,angry,0.12407299992628396
S011_005_00000001,neutral,0.13344160001724958
S011_006_00000011,happy,0.1261883000843227
S011_006_00000012,happy,0.12538079998921603
S011_006_00000013,happy,0.1310817999765277
S011_006_00000001,neutral,0.1345917999278754
S014_001_00000027,angry,0.14457110001239926
S014_001_00000028,angry,0.14010249997954816
S014_001_00000029,angry,0.13511210004799068
S014_001_00000001,neutral,0.12005070003215224
S014_002_00000014,sad,0.12887900008354336
S014_002_00000015,angry,0.13139929994940758
S014_002_00000016,angry,0.12922960007563233
S014_002_00000001,neutral,0.13661580008920282
S014_003_00000028,sad,0.12727759999688715
S014_003_00000029,sad,0.12913120002485812
S014_003_00000030,sad,0.12432860000990331
S014_003_00000001,neutral,0.1306779000442475
S014_004_00000017,angry,0.1265574999852106
S014_004_00000018,angry,0.12458120007067919
S014_004_00000019,angry,0.13111139996908605
S014_004_00000001,neutral,0.12311980000231415
S014_005_00000015,happy,0.1322045000270009
S014_005_00000016,happy,0.14829879999160767
S014_005_00000017,happy,0.17700939998030663
S014_005_00000001,neutral,0.13100609998218715
S022_001_00000028,neutral,0.13504779990762472
S022_001_00000029,neutral,0.13412279996555299
S022_001_00000030,surprise,0.12917069997638464
S022_001_00000001,sad,0.12695710000116378
S022_002_00000015,neutral,0.1287661000387743
S022_002_00000016,sad,0.1248329000081867
S022_002_00000017,sad,0.13056169997435063
S022_002_00000001,sad,0.13235279999207705
S022_003_00000031,happy,0.13048209995031357
S022_003_00000032,happy,0.13207129994407296
S022_003_00000033,happy,0.12886170006822795
S022_003_00000001,neutral,0.12956809997558594
S022_004_00000021,sad,0.13092039991170168
S022_004_00000022,sad,0.13257179991342127
S022_004_00000023,sad,0.13941900001373142
S022_004_00000001,neutral,0.13119510002434254
S022_005_00000030,sad,0.11573750001844019
S022_005_00000031,sad,0.13835589995142072
S022_005_00000032,sad,0.13754770008381456
S022_005_00000001,neutral,0.11372279992792755
S022_006_00000015,angry,0.1284126000246033
S022_006_00000016,angry,0.12360609997995198
S022_006_00000017,angry,0.12733879999723285
S022_006_00000001,neutral,0.13464040006510913
S026_001_00000013,neutral,0.131374099990353
S026_001_00000014,neutral,0.15505360008683056
S026_001_00000015,neutral,0.11064880003686994
S026_001_00000001,happy,0.14884539996273816
S026_002_00000014,angry,0.11762979999184608
S026_002_00000015,sad,0.12540580006316304
S026_002_00000016,neutral,0.11581270000897348
S026_002_00000001,neutral,0.1267435000045225
S026_003_00000013,neutral,0.12450749997515231
S026_003_00000014,sad,0.12034779996611178
S026_003_00000015,sad,0.11656819994095713
S026_003_00000001,neutral,0.1305908999638632
S026_004_00000010,angry,0.11964609997812659
S026_004_00000011,angry,0.10490979999303818
S026_004_00000012,angry,0.12040469993371516
S026_004_00000001,happy,0.1256773000350222
S026_005_00000012,angry,0.12058670003898442
S026_005_00000013,angry,0.12794949999079108
S026_005_00000014,angry,0.11926890001632273
S026_005_00000001,neutral,0.1210912000387907
S026_006_00000011,happy,0.10420860000886023
S026_006_00000012,happy,0.11103140003979206
S026_006_00000013,happy,0.12081009999383241
S026_006_00000001,happy,0.12396570004057139
S028_001_00000022,neutral,0.12064999993890524
S028_001_00000023,neutral,0.1227306000655517
S028_001_00000024,neutral,0.12441369995940477
S028_001_00000001,neutral,0.12321219989098608
S029_001_00000017,sad,0.1024268000619486
S029_001_00000018,neutral,0.11220690002664924
S029_001_00000019,sad,0.11769629991613328
S029_001_00000001,neutral,0.1503409999422729
S032_001_00000020,neutral,0.14007009996566921
S032_001_00000021,fear,0.1408896999200806
S032_001_00000022,neutral,0.14348309999331832
S032_001_00000001,fear,0.12523679994046688
S032_002_00000019,neutral,0.1324460000032559
S032_002_00000020,angry,0.1326212000567466
S032_002_00000021,sad,0.1329919999698177
S032_002_00000001,neutral,0.13054980000015348
S032_003_00000015,neutral,0.12721229996532202
S032_003_00000016,neutral,0.13201849989127368
S032_003_00000017,neutral,0.1283883999567479
S032_003_00000001,fear,0.13297669996973127
S032_004_00000012,sad,0.1318999999202788
S032_004_00000013,happy,0.1313818000489846
S032_004_00000014,fear,0.1295954999513924
S032_004_00000001,neutral,0.13314040005207062
S032_005_00000014,angry,0.12272909993771464
S032_005_00000015,angry,0.1266298999544233
S032_005_00000016,angry,0.12488100002519786
S032_005_00000001,neutral,0.12950829998590052
S032_006_00000014,happy,0.12598779995460063
S032_006_00000015,happy,0.1685955999419093
S032_006_00000016,happy,0.12580240005627275
S032_006_00000001,neutral,0.13152789999730885
S034_001_00000027,fear,0.11822539998684078
S034_001_00000028,fear,0.12785739998798817
S034_001_00000029,fear,0.12987099995370954
S034_001_00000001,neutral,0.13415850000455976
S034_002_00000031,neutral,0.12685499992221594
S034_002_00000032,neutral,0.12521339999511838
S034_002_00000033,neutral,0.12863960000686347
S034_002_00000001,sad,0.1309435999719426
S034_003_00000025,angry,0.12267549999523908
S034_003_00000026,angry,0.11955459997989237
S034_003_00000027,angry,0.11953520006500185
S034_003_00000001,sad,0.13322219997644424
S034_004_00000035,angry,0.12273049994837493
S034_004_00000036,angry,0.15034599998034537
S034_004_00000037,angry,0.15102469990961254
S034_004_00000001,fear,0.13192670000717044
S034_005_00000008,happy,0.12465940008405596
S034_005_00000009,happy,0.1247979000909254
S034_005_00000010,happy,0.12507349997758865
S034_005_00000001,angry,0.12833560002036393
S035_001_00000013,surprise,0.12334509997162968
S035_001_00000014,surprise,0.12293549999594688
S035_001_00000015,surprise,0.12443980004172772
S035_001_00000001,neutral,0.12088639999274164
S035_002_00000008,neutral,0.12375609995797276
S035_002_00000009,neutral,0.13084429991431534
S035_002_00000010,neutral,0.12019429996144027
S035_002_00000001,sad,0.1215618000132963
S035_003_00000013,disgust,0.11589239991735667
S035_003_00000014,angry,0.12246360001154244
S035_003_00000015,disgust,0.11643950000870973
S035_003_00000001,angry,0.12166509998496622
S035_004_00000014,angry,0.12504049995914102
