name, fex, time
S005_001_00000009, disgust, 0.9731820999995762
S005_001_00000010, disgust, 0.6013394999999946
S005_001_00000011, disgust, 0.6110760999999911
S010_001_00000012, surprise, 0.638301799999681
S010_001_00000013, surprise, 0.5578665000002729
S010_001_00000014, surprise, 0.598293900000499
S010_003_00000016, angry, 0.6641273999994155
S010_003_00000017, angry, 0.6210123000000749
S010_003_00000018, angry, 0.5721253000001525
S010_004_00000017, angry, 0.6161061000002519
S010_004_00000018, angry, 0.5817316000002393
S010_004_00000019, angry, 0.6068850999999995
S010_005_00000014, angry, 0.6066287000003285
S010_005_00000015, angry, 0.593525100000079
S010_005_00000016, angry, 0.5613850999998249
S011_001_00000014, surprise, 0.5736716000001252
S011_001_00000015, surprise, 0.606474100000014
S011_001_00000016, surprise, 0.5524007999993046
S011_002_00000020, sad, 0.5900649000004705
S011_002_00000021, sad, 0.5348390999997719
S011_002_00000022, sad, 0.5828921000002083
S011_004_00000012, angry, 0.5848069999992731
S011_004_00000017, angry, 0.5781138000002102
S011_004_00000018, angry, 0.5696041999999579
S011_005_00000018, disgust, 0.5801923999997598
S011_005_00000019, disgust, 0.6018734999997832
S011_005_00000020, disgust, 0.6118200000000797
S011_006_00000011, happy, 0.5794469000002209
S011_006_00000012, happy, 0.5436759000003804
S011_006_00000013, happy, 0.5970171999997547
S014_001_00000027, surprise, 0.6031273999997211
S014_001_00000028, surprise, 0.5683745000005729
S014_001_00000029, surprise, 0.6034607000001415
S014_002_00000014, sad, 0.6031761000003826
S014_002_00000015, sad, 0.5609777999998187
S014_002_00000016, sad, 0.7905527000002621
S014_003_00000028, angry, 0.6649139000001014
S014_003_00000029, angry, 0.6093939000002138
S014_003_00000030, angry, 0.6288445999998657
S022_001_00000028, surprise, 0.5751135999998951
S022_001_00000029, surprise, 0.5744265000002997
S022_001_00000030, surprise, 0.6416619000001447
S022_002_00000015, sad, 0.5599149000008765
S022_002_00000016, sad, 0.5973914000005607
S022_002_00000017, sad, 0.6059273000000758
S022_003_00000031, happy, 0.5865817000003517
S022_003_00000032, happy, 0.5695870000008654
S022_003_00000033, happy, 0.5960120999998253
S022_005_00000030, angry, 0.6152177999993
S022_005_00000031, angry, 0.6211284999999407
S022_005_00000032, angry, 0.5840098999997281
S028_001_00000022, angry, 0.560102100000222
S028_001_00000023, angry, 0.5609913999996934
S028_001_00000024, angry, 0.5751583000001119
S029_001_00000017, angry, 0.5488008000002083
S029_001_00000018, angry, 0.5739364999999452
S029_001_00000019, angry, 0.550555799999529
S032_001_00000020, surprise, 0.5646970999996483
S032_001_00000021, surprise, 0.6370287999998254
S032_001_00000022, surprise, 0.5976768999998967
S032_002_00000019, sad, 0.6430602000000363
S032_002_00000020, sad, 0.5752125999997588
S032_002_00000021, sad, 0.5613823999992746
S032_003_00000015, angry, 0.6122448000005534
S032_003_00000016, angry, 0.5603936999996222
S032_003_00000017, angry, 0.5425574999999299
S032_004_00000012, angry, 0.5351565000000846
S032_004_00000013, angry, 0.5857120000000577
S032_004_00000014, angry, 0.5828239000002213
S032_005_00000014, disgust, 0.6009979999998905
S032_005_00000015, disgust, 0.6156878000001598
S032_005_00000016, disgust, 0.5433186000000205
S032_006_00000014, happy, 0.5831637000001137
S032_006_00000015, happy, 0.5433808000007048
S032_006_00000016, happy, 0.5737306999999419
S034_001_00000027, surprise, 0.6120061000001442
S034_001_00000028, surprise, 0.5495670000000246
S034_001_00000029, surprise, 0.5702424999999494
S034_002_00000031, sad, 0.5562522999998691
S034_002_00000032, sad, 0.6070313000000169
S034_002_00000033, sad, 0.5529006999995545
S034_003_00000025, angry, 0.5729479999999967
S034_003_00000026, angry, 0.6067385999995167
S034_003_00000027, angry, 0.563771000000088
S034_004_00000035, sad, 0.613120699999854
S034_004_00000036, angry, 0.5885915999997451
S034_004_00000037, neutral, 0.6323428000005151
S034_005_00000008, happy, 0.5581775000000562
S034_005_00000009, happy, 0.5953535999997257
S034_005_00000010, happy, 0.5707308999999441
S035_002_00000008, neutral, 0.5589583999999377
S035_002_00000009, neutral, 0.5612251000002288
S035_002_00000010, neutral, 0.5607149999996182
S037_001_00000018, surprise, 0.5831755999997768
S037_001_00000019, surprise, 0.5518787000000884
S037_001_00000020, surprise, 0.5543557000000874
S037_002_00000014, sad, 0.5719236000004457
S037_002_00000015, sad, 0.5910527999994883
S037_002_00000017, sad, 0.5535076000005574
S037_003_00000020, angry, 0.573671899999681
S037_003_00000021, angry, 0.5713330999997197
S037_003_00000022, angry, 0.5205577999995512
S037_004_00000064, disgust, 0.673711600000388
S037_004_00000065, disgust, 0.6688929000001735
S037_004_00000066, disgust, 0.6633601999992607
S037_005_00000020, sad, 0.7222788999997647
S037_005_00000021, sad, 0.7156627000003937
S037_005_00000022, sad, 0.6219639000000825
S037_006_00000019, happy, 0.6031365999997433
S037_006_00000020, happy, 0.5480545999998867
S037_006_00000021, happy, 0.6049969000005149
S042_001_00000017, angry, 0.594020499999715
S042_001_00000018, angry, 0.5796294000001581
S042_001_00000019, angry, 0.612418599999728
S042_002_00000014, angry, 0.550993899999412
S042_002_00000015, angry, 0.586275000000569
